Condition,Biomarker,Molecular_Type,Sensitivity_Range,Specificity_Range,AUC_Range,Analytical_Methods,Biomaterial,Clinical_Application
MELAS (Mitochondrial Encephalomyopathy Lactic Acidosis Stroke-like episodes),Serum Neurofilament light chain (NfL),protein,Not reported,Not reported,Not reported,ELISA; Simoa; Chemiluminescence,Blood samples (serum),"Potential biomarker for neurological dysfunction in MELAS patients, and for monitoring disease progression."
Myoclonic Epilepsy with Ragged Red Fibers (MERRF),FGF21,protein,44%; 64%; 97%,Not reported,0.61; 0.73; 0.62,ELISA; PCR; dd-PCR; Colorimetric; AlphaLisa,"Plasma, serum","Diagnosis of primary mitochondrial disease, monitoring disease course, evaluating therapy efficacy."
Myoclonic Epilepsy with Ragged Red Fibers (MERRF),GDF-15,protein,44%; 64%; 97%,Not reported,0.61; 0.73; 0.62,ELISA; PCR; dd-PCR; Colorimetric; AlphaLisa,"Plasma, serum","Diagnosis of primary mitochondrial disease, monitoring disease course, evaluating therapy efficacy."
Myoclonic Epilepsy with Ragged Red Fibers (MERRF),Creatine,metabolite,44%; 64%; 97%,Not reported,0.61; 0.73; 0.62,ELISA; PCR; dd-PCR; Colorimetric; AlphaLisa,"Plasma, serum","Diagnosis of primary mitochondrial disease, monitoring disease course, evaluating therapy efficacy."
Myoclonic Epilepsy with Ragged Red Fibers (MERRF),ccf-mtDNA,dna,44%; 64%; 97%,Not reported,0.61; 0.73; 0.62,ELISA; PCR; dd-PCR; Colorimetric; AlphaLisa,"Plasma, serum","Diagnosis of primary mitochondrial disease, monitoring disease course, evaluating therapy efficacy."
Leigh syndrome,Creatine kinase,protein,66-97.9%; 20-82.8%,64-97%; 57.5-97.2%,Not reported,Not specified,"Blood (plasma, serum, arterial blood, venous blood), CSF (cerebrospinal fluid), Urine.","Diagnostic, screening, monitoring, and prognostic applications for mitochondrial diseases in general. GDF-15 and FGF-21 are considered stronger diagnostic biomarkers. Further studies are needed for more specific applications in Leigh syndrome."
Leigh syndrome,GDF-15,protein,66-97.9%; 20-82.8%,64-97%; 57.5-97.2%,Not reported,Not specified,"Blood (plasma, serum, arterial blood, venous blood), CSF (cerebrospinal fluid), Urine.","Diagnostic, screening, monitoring, and prognostic applications for mitochondrial diseases in general. GDF-15 and FGF-21 are considered stronger diagnostic biomarkers. Further studies are needed for more specific applications in Leigh syndrome."
Leigh syndrome,FGF-21,protein,66-97.9%; 20-82.8%,64-97%; 57.5-97.2%,Not reported,Not specified,"Blood (plasma, serum, arterial blood, venous blood), CSF (cerebrospinal fluid), Urine.","Diagnostic, screening, monitoring, and prognostic applications for mitochondrial diseases in general. GDF-15 and FGF-21 are considered stronger diagnostic biomarkers. Further studies are needed for more specific applications in Leigh syndrome."
Leigh syndrome,Gelsolin,protein,66-97.9%; 20-82.8%,64-97%; 57.5-97.2%,Not reported,Not specified,"Blood (plasma, serum, arterial blood, venous blood), CSF (cerebrospinal fluid), Urine.","Diagnostic, screening, monitoring, and prognostic applications for mitochondrial diseases in general. GDF-15 and FGF-21 are considered stronger diagnostic biomarkers. Further studies are needed for more specific applications in Leigh syndrome."
Leigh syndrome,Neurofilament light-chain,protein,66-97.9%; 20-82.8%,64-97%; 57.5-97.2%,Not reported,Not specified,"Blood (plasma, serum, arterial blood, venous blood), CSF (cerebrospinal fluid), Urine.","Diagnostic, screening, monitoring, and prognostic applications for mitochondrial diseases in general. GDF-15 and FGF-21 are considered stronger diagnostic biomarkers. Further studies are needed for more specific applications in Leigh syndrome."
Leigh syndrome,Lactate,metabolite,66-97.9%; 20-82.8%,64-97%; 57.5-97.2%,Not reported,Not specified,"Blood (plasma, serum, arterial blood, venous blood), CSF (cerebrospinal fluid), Urine.","Diagnostic, screening, monitoring, and prognostic applications for mitochondrial diseases in general. GDF-15 and FGF-21 are considered stronger diagnostic biomarkers. Further studies are needed for more specific applications in Leigh syndrome."
Leigh syndrome,Pyruvate,metabolite,66-97.9%; 20-82.8%,64-97%; 57.5-97.2%,Not reported,Not specified,"Blood (plasma, serum, arterial blood, venous blood), CSF (cerebrospinal fluid), Urine.","Diagnostic, screening, monitoring, and prognostic applications for mitochondrial diseases in general. GDF-15 and FGF-21 are considered stronger diagnostic biomarkers. Further studies are needed for more specific applications in Leigh syndrome."
Leigh syndrome,Lactate:Pyruvate ratio,metabolite,66-97.9%; 20-82.8%,64-97%; 57.5-97.2%,Not reported,Not specified,"Blood (plasma, serum, arterial blood, venous blood), CSF (cerebrospinal fluid), Urine.","Diagnostic, screening, monitoring, and prognostic applications for mitochondrial diseases in general. GDF-15 and FGF-21 are considered stronger diagnostic biomarkers. Further studies are needed for more specific applications in Leigh syndrome."
Leigh syndrome,Creatine,metabolite,66-97.9%; 20-82.8%,64-97%; 57.5-97.2%,Not reported,Not specified,"Blood (plasma, serum, arterial blood, venous blood), CSF (cerebrospinal fluid), Urine.","Diagnostic, screening, monitoring, and prognostic applications for mitochondrial diseases in general. GDF-15 and FGF-21 are considered stronger diagnostic biomarkers. Further studies are needed for more specific applications in Leigh syndrome."
Leigh syndrome,Malondialdehyde,metabolite,66-97.9%; 20-82.8%,64-97%; 57.5-97.2%,Not reported,Not specified,"Blood (plasma, serum, arterial blood, venous blood), CSF (cerebrospinal fluid), Urine.","Diagnostic, screening, monitoring, and prognostic applications for mitochondrial diseases in general. GDF-15 and FGF-21 are considered stronger diagnostic biomarkers. Further studies are needed for more specific applications in Leigh syndrome."
Leigh syndrome,Circulating cell-free mtDNA (nucleic acid),dna,66-97.9%; 20-82.8%,64-97%; 57.5-97.2%,Not reported,Not specified,"Blood (plasma, serum, arterial blood, venous blood), CSF (cerebrospinal fluid), Urine.","Diagnostic, screening, monitoring, and prognostic applications for mitochondrial diseases in general. GDF-15 and FGF-21 are considered stronger diagnostic biomarkers. Further studies are needed for more specific applications in Leigh syndrome."
Leigh syndrome,Amino acids (metabolite - Alanine,other,66-97.9%; 20-82.8%,64-97%; 57.5-97.2%,Not reported,Not specified,"Blood (plasma, serum, arterial blood, venous blood), CSF (cerebrospinal fluid), Urine.","Diagnostic, screening, monitoring, and prognostic applications for mitochondrial diseases in general. GDF-15 and FGF-21 are considered stronger diagnostic biomarkers. Further studies are needed for more specific applications in Leigh syndrome."
