biomarker_id,biomarker_name,molecular_class,biomaterial,analytical_method,sensitivity_percent,specificity_percent,disease_specificity,age_group_performance,data_source,clinical_application,sensitivity_range,specificity_range,auc_range,condition
B001,GDF-15,Protein (cytokine),Serum/Plasma,ELISA,83.0,92.0,"General MD, best for mtDNA translation defects",Adult > Pediatric,systematic_review_biomarkers,,,,,
B002,FGF-21,Protein (growth factor),Serum/Plasma,ELISA,71.0,88.0,"General MD, muscle involvement",Adult = Pediatric,systematic_review_biomarkers,,,,,
B003,CSF Neurofilament Light,Protein (structural),CSF,Simoa/ELISA,90.0,90.0,"Neurological MD (ME, Leigh, MELAS)",Pediatric (main studies),systematic_review_biomarkers,,,,,
B004,Serum Neurofilament Light,Protein (structural),Serum/Plasma,Simoa,25.0,94.0,CNS involvement in MD,Adult = Pediatric,systematic_review_biomarkers,,,,,
B005,Cell-free circulating mtDNA,Nucleic acid (mtDNA),Plasma,qPCR,44.0,94.0,"MELAS, mtDNA disorders",Adult (main studies),systematic_review_biomarkers,,,,,
B006,CSF Lactate,Small molecule,CSF,Spectrophotometry,88.0,88.0,Neurological MD,Pediatric (main studies),systematic_review_biomarkers,,,,,
B007,Plasma Lactate,Small molecule,Plasma,Spectrophotometry,34.0,83.0,General screening,Adult = Pediatric,systematic_review_biomarkers,,,,,
B008,CSF Alanine,Amino acid,CSF,Ion exchange chromatography,75.0,76.0,General MD,Adult = Pediatric,systematic_review_biomarkers,,,,,
B009,Plasma Alanine,Amino acid,Plasma,Ion exchange chromatography,50.0,76.0,General MD,Adult = Pediatric,systematic_review_biomarkers,,,,,
B010,Lactate/Pyruvate Ratio,Metabolite ratio,Plasma/CSF,Spectrophotometry,31.0,100.0,ETC defects,Adult = Pediatric,systematic_review_biomarkers,,,,,
B011,Creatine (plasma),Small molecule,Plasma,Spectrophotometry/LC-MS,27.0,76.0,Severe MD cases,Adult (main studies),systematic_review_biomarkers,,,,,
B012,Malondialdehyde,Lipid (aldehyde),Plasma,Spectrophotometry/HPLC,,,Oxidative stress in MD,Adult (main studies),systematic_review_biomarkers,,,,,
B013,Glutathione (reduced),Tripeptide,Plasma/Erythrocytes,Spectrophotometry,,,Oxidative stress in MD,Adult (main studies),systematic_review_biomarkers,,,,,
B014,3-Methylglutaconic acid (urine),Organic acid,Urine,GC-MS,11.0,,"Specific syndromes (Barth, ATPase defects)",Pediatric (main studies),systematic_review_biomarkers,,,,,
